label,sublabel,description,styles,bgcolor
現物提供,,,img/moyasanai02.svg,#733b96
場所提供,,,img/shigen02.svg,#77ae1f
人の提供,,,img/moyasu02.svg,#ea3b13
オンライン,,,img/bin02.svg,#2dc7aa
